work,workDescription,workLabel,coords,address,aliases,image,DRSImageURL,yearInstalled,yearRemoved,materials,categories,creators,neighborhoods,depicted,commemorated
http://www.wikidata.org/entity/Q107975716,historic marker in Boston,William Lloyd Garrison House,Point(-71.093552086 42.325920204),"17 Highland Park Street, Boston, MA 02119",,,,,,,commemorative plaque,,Roxbury,,
http://www.wikidata.org/entity/Q107466776,"2010 sculpture by Shauna Gillies-Smith, Michael Kilkelly, and France Cormier",Landwave,Point(-71.066499034 42.343585109),"230 Shawmut Ave, Boston, MA 02118",,,,2010,2018,glass tile; groundcover; concrete,sculpture,Shauna Gillies-Smith; Michael Kilkelly; France Cormier,South End,,
http://www.wikidata.org/entity/Q115743049,"Historical marker at Palladio Hall in Roxbury, Massachusetts",Palladio Hall plaque,Point(-71.08332412 42.32888839),"56 Warren Street, Boston, MA 02119",,,https://repository.library.northeastern.edu/downloads/neu:4f185h49n?datastream_id=thumbnail_5,,,,commemorative plaque,,Roxbury,,
http://www.wikidata.org/entity/Q117717840,1995 sculpture by Rafael Consuegra at Northeastern University's Boston campus,Arpus,Point(-71.090184549 42.338579367),"Dockser Hall, 65 Forsyth St, Boston, MA 02115",,,,1995,,,sculpture,Rafael Consuegra,Fenway–Kenmore,,
http://www.wikidata.org/entity/Q109272144,"2020 mural by Julia ""Julz"" Roth and Cedric ""Vise1"" Douglas",The Calling,Point(-71.033413771 42.364392182),"218 Marginal St, Boston, MA 02128",,,,2020,,,mural,Cedric Douglas; Julia Roth,East Boston,,
http://www.wikidata.org/entity/Q116004027,"2022 mural by Mel Mandel in Dorchester, Massachusetts",Youth Lead the Change: Rise Up from Your Roots,Point(-71.083450097 42.289662146),158 Stratton St. Dorchester,,,,2022,,,mural,Melissa Mandel,Dorchester,,
http://www.wikidata.org/entity/Q110088908,"2017 mural by David ""Don Rimx"" Sepulveda, Victor ""Marka27"" Quiñonez and Rob ""ProBlak"" Gibbs",Untitled,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2017,,,mural,David Sepulveda; Victor Quiñonez; Rob Gibbs,South End,,
http://www.wikidata.org/entity/Q115707916,2021 mural by Mayor's Mural Crew in Mattapan,Tout Moun Se Moun/One Love: Mattapan Tap Tap Mural,Point(-71.09436244 42.2688395),"1617 Blue Hill Avenue, Mattapan, MA 02126",,,,2021,,,mural,Mayor's Mural Crew,Mattapan,,
http://www.wikidata.org/entity/Q107466773,1976 mosaic by Lilli Ann Killen Rosenberg,In Praise of Hands,Point(-71.073231141 42.344547502),"90 Warren Ave, Boston, MA 02116",,,,1976,,ceramic; concrete; glass; metal; wood,mural; mosaic,Lilli Ann Killen Rosenberg,South End; Roxbury,,
http://www.wikidata.org/entity/Q115173591,Mural painted on the outer walls of the Joseph Lee School in Dorchester,Boston Skyline,Point(-71.080833 42.292222),"155 Talbot Ave, Boston, MA 02124",,,https://repository.library.northeastern.edu/downloads/neu:4f186191x?datastream_id=thumbnail_5,,,,mural,,Dorchester,,
